"scientific_name_original","scientific_name_MG","family_MG","scientific_name_WFO","scientific_name_authorship","family_WFO","perennial","annual","lifecycle_POSA","monoecious","dioecious","evergreen","deciduous","seasonally_apparent","seasonally_identifiable","flower_postfire","resprout_postfire","serotinous","flower_begin","flower_end","flower_begin_alt","flower_end_alt","max_height_cm","herb","geophyte","graminoid","low_shrub","mid_shrub","tall_shrub","tree","scrambler","liana","hemiparasite","parasite","missing_growthform_class","succulent","leaf_succulent","stem_succulent","other_succulent","leaf_type","lvs_linear","lvs_intermediate","lvs_oval","lvs_compound","lvs_lobed","lvs_dissected","leaf_length","virtually_no_leaves","stems_photosynthetic","functional_leaf","plant_longevity","flammability","pollination","dispersal"
"Cliffortia polygonifolia","Cliffortia polygonifolia","Rosaceae","Cliffortia polygonifolia","L.","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,0,0,"Apr","Nov",NA,NA,150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,1,0,0,0.7125,0,0,"leaf",2,"h","w","i"
"Cliffortia pterocarpa","Cliffortia pterocarpa","Rosaceae","Cliffortia pterocarpa","(Harv.) Weim.","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,1,0,"Aug","Dec",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,1,0,0,NA,0,0,"leaf",2,"h","w","p"
"Cliffortia pulchella","Cliffortia pulchella","Rosaceae","Cliffortia pulchella","L.f.","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,1,0,"Apr","May",NA,NA,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,1,0,0,NA,0,0,"leaf",2,"m","w","p"
"Cliffortia ruscifolia","Cliffortia ruscifolia","Rosaceae","Cliffortia ruscifolia","L.","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,1,0,"Aug","Oct",NA,NA,150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,1.686666667,0,0,"leaf",2,"h","w","i"
"Cliffortia sericea","Cliffortia sericea","Rosaceae","Cliffortia sericea","Eckl. & Zeyh.","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,0,0,"Aug","Nov",NA,NA,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,1,0,0,NA,0,0,"leaf",2,"h","w","i"
"Cliffortia serpyllifolia","Cliffortia serpyllifolia","Rosaceae","Cliffortia serpyllifolia","Cham. & Schltdl.","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,0,0,"Nov","May",NA,NA,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,1,0,0,0.35,0,0,"leaf",2,"h","w","p"
"Cliffortia stricta","Cliffortia stricta","Rosaceae","Cliffortia stricta","Weim.","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,0,0,"Oct","Jun",NA,NA,150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,1,0,0,0.69625,0,0,"leaf",2,"h","w","p"
"Cliffortia strobilifera","Cliffortia strobilifera","Rosaceae","Cliffortia strobilifera","L.","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,1,0,"Jan","Apr",NA,NA,300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,NA,0,0,"leaf",2,"h","w","p"
"Cliffortia subdura","Cliffortia subdura","Rosaceae","Cliffortia subdura","Weim.","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,0,0,"May","May",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,1,0,0,NA,0,0,"leaf",2,"h","w","p"
"Cliffortia subsetacea","Cliffortia subsetacea","Rosaceae","Cliffortia subsetacea","(Eckl. & Zeyh.) Diels ex Bolus & Wolley-Dod","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,0,0,"Aug","Jan",NA,NA,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,1,0,0,0.428571429,0,0,"leaf",2,"h","w","p"
"Cliffortia teretifolia","Cliffortia teretifolia","Rosaceae","Cliffortia teretifolia","L.f.","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,1,0,"Sep","Dec",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,1,0,0,NA,0,0,"leaf",2,"h","w","p"
"Cliffortia triloba","Cliffortia triloba","Rosaceae","Cliffortia triloba","Harv.","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,1,0,"Aug","Sep",NA,NA,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,1,1,0,NA,0,0,"leaf",2,"h","w","p"
"Cliffortia tuberculata","Cliffortia tuberculata","Rosaceae","Cliffortia tuberculata","(Harv.) Weim.","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,1,0,"Oct","Nov",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,1,0,0,NA,0,0,"leaf",2,"h","w","i"
"Clutia alaternoides","Clutia alaternoides","Euphorbiaceae","Clutia alaternoides","L.","Peraceae",1,0,"Perennial",0,1,1,0,0,0,0,1,0,"Aug","Oct",NA,NA,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,1.506363636,0,0,"leaf",2,"m","i","p"
"Clutia daphnoides","Clutia daphnoides","Euphorbiaceae","Clutia daphnoides","Lam.","Peraceae",1,0,"Perennial",0,1,1,0,0,0,0,0,0,"Jun","Sep",NA,NA,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,NA,0,0,"leaf",2,"h","i","p"
"Clutia ericoides","Clutia ericoides","Euphorbiaceae","Clutia ericoides","Thunb.","Peraceae",1,0,"Perennial",0,1,1,0,0,0,0,0,0,"May","Jul",NA,NA,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,1.044166667,0,0,"leaf",2,"m","i","p"
"Clutia laxa","Clutia laxa","Euphorbiaceae","Clutia laxa","Eckl. ex Sond.","Peraceae",1,0,"Perennial",0,1,1,0,0,0,0,1,0,"Jul","Sep",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,1.012,0,0,"leaf",2,"m","i","p"
